SQL Injection Dataset Results
Start Time: 2026-04-05 15:32:05.442580

[1] SAFE | Status:404 | Time:0.008s | Payload: sql_query,injection_type,vulnerability_status,sql_command,target_table,selected_columns,comparison_operator,logical_operator,sql_comment_syntax
[2] SAFE | Status:404 | Time:0.006s | Payload: "UPDATE id, email FROM login WHERE created_at LIKE '2024-01-01' OR created_at LIKE 1",None_Type,No,UPDATE,login,"id, email",LIKE,OR,
[3] SAFE | Status:404 | Time:0.005s | Payload: UPDATE MIN(created_at) FROM payments WHERE product_id BETWEEN 1 AND product_id BETWEEN 'test@example.com',None_Type,No,UPDATE,payments,MIN(created_at),BETWEEN,AND,
[4] SAFE | Status:404 | Time:0.005s | Payload: "EXEC created_at, updated_at FROM admin WHERE price LIKE 1 NOT price LIKE 'shipped'",None_Type,No,EXEC,admin,"created_at, updated_at",LIKE,NOT,
[5] SAFE | Status:404 | Time:0.005s | Payload: SELECT MIN(created_at) FROM sessions WHERE id = 1 AND HAVING 1=1#,Error-Based,Yes,SELECT,sessions,MIN(created_at),=,AND,
[6] SAFE | Status:404 | Time:0.006s | Payload: UPDATE COUNT(*) FROM transactions WHERE product_id < 'shipped' AND product_id < 'pending',None_Type,No,UPDATE,transactions,COUNT(*),<,AND,
[7] SAFE | Status:404 | Time:0.005s | Payload: "UPDATE price, status FROM admin WHERE order_id != '2024-01-01' NOT order_id != 1",None_Type,No,UPDATE,admin,"price, status",!=,NOT,
[8] SAFE | Status:404 | Time:0.007s | Payload: SELECT MIN(created_at) FROM employees WHERE id <= '2024-01-01' AND id <= 'safe',None_Type,No,SELECT,employees,MIN(created_at),<=,AND,
[9] SAFE | Status:404 | Time:0.006s | Payload: UPDATE MIN(created_at) FROM login WHERE order_id = 'shipped' OR order_id = 'safe',None_Type,No,UPDATE,login,MIN(created_at),=,OR,
[10] SAFE | Status:404 | Time:0.005s | Payload: "UPDATE price, status FROM users WHERE email <= 1 OR email <= 'safe'",None_Type,No,UPDATE,users,"price, status",<=,OR,
[11] SAFE | Status:404 | Time:0.007s | Payload: CALL COUNT(*) FROM accounts WHERE product_id < 'safe' AND product_id < 'active',None_Type,No,CALL,accounts,COUNT(*),<,AND,
[12] SAFE | Status:404 | Time:0.007s | Payload: "SELECT MAX(price) FROM admin WHERE id >= 1 NOT "" OR (SELECT name FROM sqlite_master WHERE type='table' LIMIT 1) = 'users' -- #",meta_based,Yes,SELECT,admin,MAX(price),>=,NOT,#
[13] SAFE | Status:404 | Time:0.007s | Payload: EXEC * FROM admin WHERE user_id BETWEEN 'safe' AND user_id BETWEEN 'pending',None_Type,No,EXEC,admin,*,BETWEEN,AND,
[14] SAFE | Status:404 | Time:0.006s | Payload: SELECT * FROM employees WHERE id <= 1 LIKE ORDER BY 6--,Error-Based,Yes,SELECT,employees,*,<=,LIKE,
[15] SAFE | Status:404 | Time:0.006s | Payload: CALL COUNT(*) FROM login WHERE user_id IN '2024-01-01' NOT user_id IN 'active',None_Type,No,CALL,login,COUNT(*),IN,NOT,
